AFGHANISTAN	KABUL
ALBANIA	TIRANA
ALGERIA	ALGIERS
ARGENTINA	BUENOS AIRES
AUSTRALIA	CANBERRA
AUSTRIA	VIENNA
AZERBAIJAN	BAKU
BAHRAIN	MANAMA
BANGLADESH	DHAKA
BELARUS	MINSK
BELGIUM	BRUSSELS
BRAZIL	BRASILIA
BULGARIA	SOFIA
CANADA	OTTAWA
CHILE	SANTIAGO
CHINA	BEIJING
COLOMBIA	BOGOTÁ
CROATIA	ZAGREB
CUBA	HAVANA
CYPRUS	NICOSIA
CZECH REPUBLIC	PRAGUE
DENMARK	COPENHAGEN
ECUADOR	QUITO
EGYPT	CAIRO
ESTONIA	TALLINN
FEDERATED STATES OF MICRONESIA	PALIKIR
FIJI	SUVA
FINLAND	HELSINKI
FRANCE	PARIS
GAMBIA, THE	BANJUL
GEORGIA	TBILISI
GERMANY	BERLIN
GHANA	ACCRA
GREECE	ATHENS
GRENADA	SAINT GEORGE'S
GUATEMALA	GUATEMALA CITY
GUINEA	CONAKRY
GUINEA-BISSAU	BISSAU
GUYANA	GEORGETOWN
HONDURAS	TEGUCIGALPA
HUNGARY	BUDAPEST
ICELAND	REYKJAVIK
INDIA	NEW DELHI
INDONESIA	JAKARTA
IRAN	TEHRAN
IRAQ	BAGHDAD
IRELAND	DUBLIN
ISRAEL	JERUSALEM
ITALY	ROME
JAMAICA	KINGSTON
JAPAN	TOKYO
JORDAN	AMMAN
KAZAKHSTAN	ASTANA
KENYA	NAIROBI
KOSOVO	PRISTINA
LAOS	VIENTIANE
LEBANON	BEIRUT
LIBERIA	MONROVIA
MADAGASCAR	ANTANANARIVO
MALAWI	LILONGWE
MALAYSIA	KUALA LUMPUR
MALDIVES	MALE
MALI	BAMAKO
MALTA	VALLETTA
MARSHALL ISLANDS	MAJURO
MAURITANIA	NOUAKCHOTT
MAURITIUS	PORT LOUIS
MEXICO	MEXICO CITY
MOLDOVA	CHISINAU
MONACO	MONACO
MONGOLIA	ULAANBAATAR
MONTENEGRO	PODGORICA
MOROCCO	RABAT
MOZAMBIQUE	MAPUTO
MYANMAR	NAY PYI TAW
NAMIBIA	WINDHOEK
NAURU	YAREN DISTRICT
NEPAL	KATHMANDU
NETHERLANDS	AMSTERDAM
NEW ZEALAND	WELLINGTON
NICARAGUA	MANAGUA
NIGER	NIAMEY
NIGERIA	ABUJA
NORTH KOREA	PYONGYANG
NORTH MACEDONIA	SKOPJE
NORWAY	OSLO
OMAN	MUSCAT
PAKISTAN	ISLAMABAD
PALAU	NGERULMUD
PALESTINE	EAST JERUSALEM
PANAMA	PANAMA CITY
PAPUA NEW GUINEA	PORT MORESBY
PARAGUAY	ASUNCIÓN
PERU	LIMA
PHILIPPINES	MANILA
POLAND	WARSAW
PORTUGAL	LISBON
QATAR	DOHA
REPUBLIC OF THE CONGO	BRAZZAVILLE
ROMANIA	BUCHAREST
RUSSIA	MOSCOW
RWANDA	KIGALI
SAMOA	APIA
SENEGAL	DAKAR
SERBIA	BELGRADE
SEYCHELLES	VICTORIA
SIERRA LEONE	FREETOWN
SOLOMON ISLANDS	HONIARA
SOMALIA	MOGADISHU
SOUTH SUDAN	JUBA
SPAIN	MADRID
SRI LANKA	COLOMBO, SRI JAYAWARDENEPURA KOTTE
SUDAN	KHARTOUM
SURINAME	PARAMARIBO
SWEDEN	STOCKHOLM
SWITZERLAND	BERN
SYRIA	DAMASCUS
TAJIKISTAN	DUSHANBE
TANZANIA	DODOMA
THAILAND	BANGKOK
TIMOR-LESTE	DILI
TOGO	LOMÉ
TONGA	NUKUʻALOFA
TRINIDAD & TOBAGO	PORT OF SPAIN
TUNISIA	TUNIS
TURKEY	ANKARA
TURKMENISTAN	ASHGABAT
TUVALU	FUNAFUTI
UGANDA	KAMPALA
UKRAINE	KIEV
UNITED ARAB EMIRATES	ABU DHABI
UNITED KINGDOM*	LONDON
UNITED STATES	WASHINGTON, D.C.
URUGUAY	MONTEVIDEO
UZBEKISTAN	TASHKENT
VENEZUELA	CARACAS
VIETNAM	HANOI
YEMEN	SANA'A
ZAMBIA	LUSAKA
ZIMBABWE	HARARE
