aFgHaNiStAn	kAbUl
aLbAnIa	tIrAnA
AlGeRiA	AlGiErS
ArGeNtInA	BuEnOs aIrEs
aUsTrAlIa	cAnBeRrA
AuStRiA	ViEnNa
aZeRbAiJaN	BaKu
bAhRaIn	mAnAmA
BaNgLaDeSh	dHaKa
bElArUs	mInSk
bElGiUm	bRuSsElS
BrAzIl	bRaSiLiA
BuLgArIa	sOfIa
cAnAdA	OtTaWa
cHiLe	sAnTiAgO
ChInA	BeIjInG
CoLoMbIa	bOgOtÁ
CrOaTiA	ZaGrEb
cUbA	HaVaNa
cYpRuS	NiCoSiA
CzEcH RePuBlIc	pRaGuE
DeNmArK	CoPeNhAgEn
eCuAdOr	qUiTo
eGyPt	cAiRo
eStOnIa	tAlLiNn
fEdErAtEd sTaTeS Of mIcRoNeSiA	PaLiKiR
FiJi	sUvA
FiNlAnD	HeLsInKi
fRaNcE	PaRiS
GaMbIa, ThE	BaNjUl
gEoRgIa	tBiLiSi
gErMaNy	bErLiN
GhAnA	AcCrA
GrEeCe	aThEnS
GrEnAdA	SaInT GeOrGe's
gUaTeMaLa	gUaTeMaLa cItY
GuInEa	cOnAkRy
gUiNeA-BiSsAu	bIsSaU
GuYaNa	gEoRgEtOwN
HoNdUrAs	tEgUcIgAlPa
hUnGaRy	bUdApEsT
IcElAnD	ReYkJaViK
InDiA	NeW DeLhI
InDoNeSiA	JaKaRtA
IrAn	tEhRaN
IrAq	bAgHdAd
iReLaNd	dUbLiN
IsRaEl	jErUsAlEm
iTaLy	rOmE
JaMaIcA	KiNgStOn
jApAn	tOkYo
jOrDaN	AmMaN
KaZaKhStAn	aStAnA
KeNyA	NaIrObI
KoSoVo	pRiStInA
LaOs	vIeNtIaNe
lEbAnOn	bEiRuT
LiBeRiA	MoNrOvIa
mAdAgAsCaR	AnTaNaNaRiVo
mAlAwI	LiLoNgWe
mAlAySiA	KuAlA LuMpUr
mAlDiVeS	MaLe
mAlI	BaMaKo
mAlTa	vAlLeTtA
MaRsHaLl iSlAnDs	mAjUrO
MaUrItAnIa	nOuAkChOtT
MaUrItIuS	PoRt lOuIs
mExIcO	MeXiCo cItY
MoLdOvA	ChIsInAu
mOnAcO	MoNaCo
mOnGoLiA	UlAaNbAaTaR
MoNtEnEgRo	pOdGoRiCa
mOrOcCo	rAbAt
mOzAmBiQuE	MaPuTo
mYaNmAr	nAy pYi tAw
nAmIbIa	wInDhOeK
NaUrU	YaReN DiStRiCt
nEpAl	kAtHmAnDu
nEtHeRlAnDs	aMsTeRdAm
nEw zEaLaNd	wElLiNgToN
NiCaRaGuA	MaNaGuA
NiGeR	NiAmEy
nIgErIa	aBuJa
nOrTh kOrEa	pYoNgYaNg
nOrTh mAcEdOnIa	sKoPjE
NoRwAy	oSlO
OmAn	mUsCaT
PaKiStAn	iSlAmAbAd
pAlAu	nGeRuLmUd
pAlEsTiNe	eAsT JeRuSaLeM
PaNaMa	pAnAmA CiTy
pApUa nEw gUiNeA	PoRt mOrEsBy
pArAgUaY	AsUnCiÓn
pErU	LiMa
pHiLiPpInEs	mAnIlA
PoLaNd	wArSaW
PoRtUgAl	lIsBoN
QaTaR	DoHa
rEpUbLiC Of tHe cOnGo	bRaZzAvIlLe
rOmAnIa	bUcHaReSt
rUsSiA	MoScOw
rWaNdA	KiGaLi
sAmOa	aPiA
SeNeGaL	DaKaR
SeRbIa	bElGrAdE
SeYcHeLlEs	vIcToRiA
SiErRa lEoNe	fReEtOwN
SoLoMoN IsLaNdS	HoNiArA
SoMaLiA	MoGaDiShU
SoUtH SuDaN	JuBa
sPaIn	mAdRiD
SrI LaNkA	CoLoMbO, sRi jAyAwArDeNePuRa kOtTe
sUdAn	kHaRtOuM
SuRiNaMe	pArAmArIbO
SwEdEn	sToCkHoLm
sWiTzErLaNd	bErN
SyRiA	DaMaScUs
tAjIkIsTaN	DuShAnBe
tAnZaNiA	DoDoMa
tHaIlAnD	BaNgKoK
TiMoR-LeStE	DiLi
tOgO	LoMé
tOnGa	nUkUʻAlOfA
TrInIdAd & tObAgO	PoRt oF SpAiN
TuNiSiA	TuNiS
TuRkEy	aNkArA
TuRkMeNiStAn	aShGaBaT
TuVaLu	fUnAfUtI
UgAnDa	kAmPaLa
uKrAiNe	kIeV
UnItEd aRaB EmIrAtEs	aBu dHaBi
uNiTeD KiNgDoM*	lOnDoN
UnItEd sTaTeS	WaShInGtOn, D.C.
uRuGuAy	mOnTeViDeO
UzBeKiStAn	tAsHkEnT
VeNeZuElA	CaRaCaS
ViEtNaM	HaNoI
YeMeN	SaNa'a
zAmBiA	LuSaKa
zImBaBwE	HaRaRe
