AfGhAnIsTaN	KaBuL
AlBaNiA	TiRaNa
aLgErIa	aLgIeRs
aRgEnTiNa	bUeNoS AiReS
AuStRaLiA	CaNbErRa
aUsTrIa	vIeNnA
AzErBaIjAn	bAkU
BaHrAiN	MaNaMa
bAnGlAdEsH	DhAkA
BeLaRuS	MiNsK
BeLgIuM	BrUsSeLs
bRaZiL	BrAsIlIa
bUlGaRiA	SoFiA
CaNaDa	oTtAwA
ChIlE	SaNtIaGo
cHiNa	bEiJiNg
cOlOmBiA	BoGoTá
cRoAtIa	zAgReB
CuBa	hAvAnA
CyPrUs	nIcOsIa
cZeCh rEpUbLiC	PrAgUe
dEnMaRk	cOpEnHaGeN
EcUaDoR	QuItO
EgYpT	CaIrO
EsToNiA	TaLlInN
FeDeRaTeD StAtEs oF MiCrOnEsIa	pAlIkIr
fIjI	SuVa
fInLaNd	hElSiNkI
FrAnCe	pArIs
gAmBiA, tHe	bAnJuL
GeOrGiA	TbIlIsI
GeRmAnY	BeRlIn
gHaNa	aCcRa
gReEcE	AtHeNs
gReNaDa	sAiNt gEoRgE'S
GuAtEmAlA	GuAtEmAlA CiTy
gUiNeA	CoNaKrY
GuInEa-bIsSaU	BiSsAu
gUyAnA	GeOrGeToWn
hOnDuRaS	TeGuCiGaLpA
HuNgArY	BuDaPeSt
iCeLaNd	rEyKjAvIk
iNdIa	nEw dElHi
iNdOnEsIa	jAkArTa
iRaN	TeHrAn
iRaQ	BaGhDaD
IrElAnD	DuBlIn
iSrAeL	JeRuSaLeM
ItAlY	RoMe
jAmAiCa	kInGsToN
JaPaN	ToKyO
JoRdAn	aMmAn
kAzAkHsTaN	AsTaNa
kEnYa	nAiRoBi
kOsOvO	PrIsTiNa
lAoS	ViEnTiAnE
LeBaNoN	BeIrUt
lIbErIa	mOnRoViA
MaDaGaScAr	aNtAnAnArIvO
MaLaWi	lIlOnGwE
MaLaYsIa	kUaLa lUmPuR
MaLdIvEs	mAlE
MaLi	bAmAkO
MaLtA	VaLlEtTa
mArShAlL IsLaNdS	MaJuRo
mAuRiTaNiA	NoUaKcHoTt
mAuRiTiUs	pOrT LoUiS
MeXiCo	mExIcO CiTy
mOlDoVa	cHiSiNaU
MoNaCo	mOnAcO
MoNgOlIa	uLaAnBaAtAr
mOnTeNeGrO	PoDgOrIcA
MoRoCcO	RaBaT
MoZaMbIqUe	mApUtO
MyAnMaR	NaY PyI TaW
NaMiBiA	WiNdHoEk
nAuRu	yArEn dIsTrIcT
NePaL	KaThMaNdU
NeThErLaNdS	AmStErDaM
NeW ZeAlAnD	WeLlInGtOn
nIcArAgUa	mAnAgUa
nIgEr	nIaMeY
NiGeRiA	AbUjA
NoRtH KoReA	PyOnGyAnG
NoRtH MaCeDoNiA	SkOpJe
nOrWaY	OsLo
oMaN	MuScAt
pAkIsTaN	IsLaMaBaD
PaLaU	NgErUlMuD
PaLeStInE	EaSt jErUsAlEm
pAnAmA	PaNaMa cItY
PaPuA NeW GuInEa	pOrT MoReSbY
PaRaGuAy	aSuNcIóN
PeRu	lImA
PhIlIpPiNeS	MaNiLa
pOlAnD	WaRsAw
pOrTuGaL	LiSbOn
qAtAr	dOhA
RePuBlIc oF ThE CoNgO	BrAzZaViLlE
RoMaNiA	BuChArEsT
RuSsIa	mOsCoW
RwAnDa	kIgAlI
SaMoA	ApIa
sEnEgAl	dAkAr
sErBiA	BeLgRaDe
sEyChElLeS	ViCtOrIa
sIeRrA LeOnE	FrEeToWn
sOlOmOn iSlAnDs	hOnIaRa
sOmAlIa	mOgAdIsHu
sOuTh sUdAn	jUbA
SpAiN	MaDrId
sRi lAnKa	cOlOmBo, SrI JaYaWaRdEnEpUrA KoTtE
SuDaN	KhArToUm
sUrInAmE	PaRaMaRiBo
sWeDeN	StOcKhOlM
SwItZeRlAnD	BeRn
sYrIa	dAmAsCuS
TaJiKiStAn	dUsHaNbE
TaNzAnIa	dOdOmA
ThAiLaNd	bAnGkOk
tImOr-lEsTe	dIlI
ToGo	lOmÉ
ToNgA	NuKuʻaLoFa
tRiNiDaD & ToBaGo	pOrT Of sPaIn
tUnIsIa	tUnIs
tUrKeY	AnKaRa
tUrKmEnIsTaN	AsHgAbAt
tUvAlU	FuNaFuTi
uGaNdA	KaMpAlA
UkRaInE	KiEv
uNiTeD ArAb eMiRaTeS	AbU DhAbI
UnItEd kInGdOm*	LoNdOn
uNiTeD StAtEs	wAsHiNgToN, d.c.
UrUgUaY	MoNtEvIdEo
uZbEkIsTaN	TaShKeNt
vEnEzUeLa	cArAcAs
vIeTnAm	hAnOi
yEmEn	sAnA'A
ZaMbIa	lUsAkA
ZiMbAbWe	hArArE
