afghanistan	kabul
albania	tirana
algeria	algiers
argentina	buenos aires
australia	canberra
austria	vienna
azerbaijan	baku
bahrain	manama
bangladesh	dhaka
belarus	minsk
belgium	brussels
brazil	brasilia
bulgaria	sofia
canada	ottawa
chile	santiago
china	beijing
colombia	bogotá
croatia	zagreb
cuba	havana
cyprus	nicosia
czech republic	prague
denmark	copenhagen
ecuador	quito
egypt	cairo
estonia	tallinn
federated states of micronesia	palikir
fiji	suva
finland	helsinki
france	paris
gambia, the	banjul
georgia	tbilisi
germany	berlin
ghana	accra
greece	athens
grenada	saint george's
guatemala	guatemala city
guinea	conakry
guinea-bissau	bissau
guyana	georgetown
honduras	tegucigalpa
hungary	budapest
iceland	reykjavik
india	new delhi
indonesia	jakarta
iran	tehran
iraq	baghdad
ireland	dublin
israel	jerusalem
italy	rome
jamaica	kingston
japan	tokyo
jordan	amman
kazakhstan	astana
kenya	nairobi
kosovo	pristina
laos	vientiane
lebanon	beirut
liberia	monrovia
madagascar	antananarivo
malawi	lilongwe
malaysia	kuala lumpur
maldives	male
mali	bamako
malta	valletta
marshall islands	majuro
mauritania	nouakchott
mauritius	port louis
mexico	mexico city
moldova	chisinau
monaco	monaco
mongolia	ulaanbaatar
montenegro	podgorica
morocco	rabat
mozambique	maputo
myanmar	nay pyi taw
namibia	windhoek
nauru	yaren district
nepal	kathmandu
netherlands	amsterdam
new zealand	wellington
nicaragua	managua
niger	niamey
nigeria	abuja
north korea	pyongyang
north macedonia	skopje
norway	oslo
oman	muscat
pakistan	islamabad
palau	ngerulmud
palestine	east jerusalem
panama	panama city
papua new guinea	port moresby
paraguay	asunción
peru	lima
philippines	manila
poland	warsaw
portugal	lisbon
qatar	doha
republic of the congo	brazzaville
romania	bucharest
russia	moscow
rwanda	kigali
samoa	apia
senegal	dakar
serbia	belgrade
seychelles	victoria
sierra leone	freetown
solomon islands	honiara
somalia	mogadishu
south sudan	juba
spain	madrid
sri lanka	colombo, sri jayawardenepura kotte
sudan	khartoum
suriname	paramaribo
sweden	stockholm
switzerland	bern
syria	damascus
tajikistan	dushanbe
tanzania	dodoma
thailand	bangkok
timor-leste	dili
togo	lomé
tonga	nukuʻalofa
trinidad & tobago	port of spain
tunisia	tunis
turkey	ankara
turkmenistan	ashgabat
tuvalu	funafuti
uganda	kampala
ukraine	kiev
united arab emirates	abu dhabi
united kingdom*	london
united states	washington, d.c.
uruguay	montevideo
uzbekistan	tashkent
venezuela	caracas
vietnam	hanoi
yemen	sana'a
zambia	lusaka
zimbabwe	harare
