Afghanistan	Kabul
Albania	Tirana
Algeria	Algiers
Argentina	Buenos Aires
Australia	Canberra
Austria	Vienna
Azerbaijan	Baku
Bahrain	Manama
Bangladesh	Dhaka
Belarus	Minsk
Belgium	Brussels
Brazil	Brasilia
Bulgaria	Sofia
Canada	Ottawa
Chile	Santiago
China	Beijing
Colombia	Bogotá
Croatia	Zagreb
Cuba	Havana
Cyprus	Nicosia
Czech Republic	Prague
Denmark	Copenhagen
Ecuador	Quito
Egypt	Cairo
Estonia	Tallinn
Federated States Of Micronesia	Palikir
Fiji	Suva
Finland	Helsinki
France	Paris
Gambia, The	Banjul
Georgia	Tbilisi
Germany	Berlin
Ghana	Accra
Greece	Athens
Grenada	Saint George's
Guatemala	Guatemala City
Guinea	Conakry
Guinea-bissau	Bissau
Guyana	Georgetown
Honduras	Tegucigalpa
Hungary	Budapest
Iceland	Reykjavik
India	New Delhi
Indonesia	Jakarta
Iran	Tehran
Iraq	Baghdad
Ireland	Dublin
Israel	Jerusalem
Italy	Rome
Jamaica	Kingston
Japan	Tokyo
Jordan	Amman
Kazakhstan	Astana
Kenya	Nairobi
Kosovo	Pristina
Laos	Vientiane
Lebanon	Beirut
Liberia	Monrovia
Madagascar	Antananarivo
Malawi	Lilongwe
Malaysia	Kuala Lumpur
Maldives	Male
Mali	Bamako
Malta	Valletta
Marshall Islands	Majuro
Mauritania	Nouakchott
Mauritius	Port Louis
Mexico	Mexico City
Moldova	Chisinau
Monaco	Monaco
Mongolia	Ulaanbaatar
Montenegro	Podgorica
Morocco	Rabat
Mozambique	Maputo
Myanmar	Nay Pyi Taw
Namibia	Windhoek
Nauru	Yaren District
Nepal	Kathmandu
Netherlands	Amsterdam
New Zealand	Wellington
Nicaragua	Managua
Niger	Niamey
Nigeria	Abuja
North Korea	Pyongyang
North Macedonia	Skopje
Norway	Oslo
Oman	Muscat
Pakistan	Islamabad
Palau	Ngerulmud
Palestine	East Jerusalem
Panama	Panama City
Papua New Guinea	Port Moresby
Paraguay	Asunción
Peru	Lima
Philippines	Manila
Poland	Warsaw
Portugal	Lisbon
Qatar	Doha
Republic Of The Congo	Brazzaville
Romania	Bucharest
Russia	Moscow
Rwanda	Kigali
Samoa	Apia
Senegal	Dakar
Serbia	Belgrade
Seychelles	Victoria
Sierra Leone	Freetown
Solomon Islands	Honiara
Somalia	Mogadishu
South Sudan	Juba
Spain	Madrid
Sri Lanka	Colombo, Sri Jayawardenepura Kotte
Sudan	Khartoum
Suriname	Paramaribo
Sweden	Stockholm
Switzerland	Bern
Syria	Damascus
Tajikistan	Dushanbe
Tanzania	Dodoma
Thailand	Bangkok
Timor-leste	Dili
Togo	Lomé
Tonga	Nukuʻalofa
Trinidad & Tobago	Port Of Spain
Tunisia	Tunis
Turkey	Ankara
Turkmenistan	Ashgabat
Tuvalu	Funafuti
Uganda	Kampala
Ukraine	Kiev
United Arab Emirates	Abu Dhabi
United Kingdom*	London
United States	Washington, D.c.
Uruguay	Montevideo
Uzbekistan	Tashkent
Venezuela	Caracas
Vietnam	Hanoi
Yemen	Sana'a
Zambia	Lusaka
Zimbabwe	Harare
